결박id	대상심볼	대상파일	옛반경	새반경	호출자수	감시전	감시후	타파일새원소	기준시점커밋	대상digest차이	base에없던새원소	판정	근거
5e6bbbac89053565	93aebfd04620275ce8d8be7e62001e581c12bdda69ffb5e0ec6207ecdd7a99d7	crates/pal-core/src/symbol.rs	symbol	callers	24	1	25	23	9f0bf704464bec4920e3e226953c32640387623c	거짓	1	영향받는다	종류 이름이 SymbolId::compute 의 성분으로 실리고 kind.name() 문자열을 쓰기에 뒤에 더해도 안전하다는 것이 근거라, 그 값을 쓰는 쪽이 바뀌면 접지 않는다는 판단을 다시 봐야 한다
6192ba6df5242980	f53dcf5eb63e0439c1f1386276a60ad53159ae399aa8abbfca03492e5c4b292b	xtask/src/main.rs	symbol	symbol	1	1	1	0	daf15debf4399f482d42c92e693646371ace64b6	거짓	0	아니다	조건 설계 평가의 산출물 존재만 재고 평가의 질은 못 잰다고 밝힌 이 검사 자신의 강제 범위다
6968674d8aa1bc2f	41e387f35da18f77b012a195bbfdbd515fec044a7a2f5e266c62aafbd2aa6819	crates/pal-core/src/narrative.rs	symbol	callers	5	1	6	1	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	거리 0 인 신호만 좌표를 확정할 수 있다는 타입 불변식이고, 넓힌 규칙이나 asserted 로 결박을 만드는 쪽이 생기면 F10 이 반증당한 형태가 재발한다
6c0e8ea521d0b2ac	17f2ea80e931d7a47f1b78f368d107623d9c8b61368036be71a232ff20829a90	crates/pal-core/src/doctor.rs	symbol	symbol	0	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	아니다	빠뜨림만 잡고 틀린 선언은 못 잡는다는 이 검사 자신의 한계와 뒤집힐 조건을 적은 것이다
746a7761356136d8	55373aa24b6c4a2013233431a9238ef785e0094fb505324b25d0b3b82a0f86a7	xtask/src/main.rs	symbol	callers	1	1	2	0	07efe73aaa0a43cc6543f11d54f9df120f18a808	거짓	0	영향받는다	하한을 못 읽거나 대상이 비면 빈 벡터가 아니라 실패로 돌린다는 결정이고, 그 까닭이 부르는 쪽에 빈 모집단을 잡는 자가 없다는 사실이다
7793c31caa5c4bc2	b8e5e7cb9a1b308656da40feac2d104f76d5578726b1f4200961b4495ece0bb0	crates/pal-cli/src/ledger.rs	symbol	symbol	4	1	1	0	58991b666e66700d4f00181b590ac3ce972d3463	거짓	0	아니다	정체성 등급의 합을 원인 넷으로 갈라 찍는다는 이 산출 블록 자체의 구성이다
819fb73f9caf7f22	2bf66b24410e4eed94a03bf7989b42009374393e8fe4411a2c62e84986f93d69	crates/pal-extract/src/rust_scopes.rs	symbol	symbol	0	1	1	0	e9402bc63ab875ab933e7668098ce54240b80124	거짓	0	아니다	아이템의 순서 무관을 hoist_home 자리가 아니라 hoisted 표시로 표현한다는 이 함수 안의 표현 선택이다
822ebf9b8071c799	48a133c013b9264b9c774bae8b06cf6b68311e2865a19b085b64d6fd5827e12b	crates/pal-core/src/plan.rs	symbol	callers	11	1	12	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	열거를 만드는 함수의 입력이 그 상태를 가질 수 있는가로 변형 추가와 별도 열거를 가르는 규칙이라, 그 값을 만드는 쪽의 입력이 바뀌면 다시 판단해야 한다
82d726bad31e77f6	475f5047c22a9e973101739c5bd9f638ee0996a5884e3767f078d66ff9dfb029	crates/pal-core/src/envelope.rs	symbol	callers	0	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	응답 시간을 봉투에 싣는 결정이 산출을 바이트로 대는 왕복 항등과 재구축 등가성을 깨뜨린 자리라, 그 값을 소비하는 쪽이 바뀌면 다시 봐야 한다 ⟨호출자 0 — 넓혀도 감시가 안 커진다. 멤버 호출(x.foo())을 장치가 못 보는 것이고 pal touch 가 그 문장을 스스로 찍는다. 근거가 안 선 것이 아니다⟩
8597d886cb7afc70	fa4c34dbc53cad9661fed6adea0a1e3402904f1aceae5960bcd59beeedc6862d	xtask/src/main.rs	symbol	callers	1	1	2	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	방향 4 의 스캔 대상을 이 상수 하나로 모으고 없는 디렉터리를 조용히 건너뛰지 않게 한 결정이라, 이것을 읽는 검사나 표면이 바뀌면 안 재어지는 표면이 생긴다
91cdc3add647a3f7	f129649fd0fb2134a58581b31005e7ec9d5d86098ab2914cba3257cbc41cc888	crates/pal-cli/src/touch.rs	symbol	symbol	1	1	1	0	e9402bc63ab875ab933e7668098ce54240b80124	거짓	0	아니다	호출이 아닌 것을 담고 호출인데 못 담는 것도 있다는 두 줄을 함께 찍어야 한다는 이 화면 자신의 산출문 규칙이다
969991a119d4c1ef	c9721e568bd411c336956a9468e77a3822191747b6e3ef753a91678ffd62ee35	xtask/src/main.rs	symbol	symbol	4	1	1	0	58991b666e66700d4f00181b590ac3ce972d3463	거짓	0	아니다	검사 하한을 사전순이 아니라 report.md 의 커밋 시각으로 고른다는 이 선택자 자신의 정렬 규칙이다
a47cd21ca1fbc524	1274d02b8942ef34fbe4e7462ff2ca79d021ee4c1b0fd285e4c017f09ea7a181	crates/pal-core/src/binding.rs	symbol	symbol	10	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	아니다	F12 §3.1 이 아니라 같은 문서 §4 의 「분류만 하고 평가하지 않는다」를 따른다는 이 열거의 분류 태도다
a5b4ba095bf405f7	db08e381145d997925da00791b8c96cb513ba53a13821407ce2e4cd0d7a1ce3a	xtask/src/main.rs	symbol	callers	0	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	플랫폼 분기는 install::exe 한 곳에 살고 호출자는 묻기만 한다는 규약과 원리상 못 재는 것만 등록한다는 자격 규칙이라, 부르는 쪽이 자기 분기를 들이면 무너진다 ⟨호출자 0 — 넓혀도 감시가 안 커진다. 멤버 호출(x.foo())을 장치가 못 보는 것이고 pal touch 가 그 문장을 스스로 찍는다. 근거가 안 선 것이 아니다⟩
b52057859bf405eb	bf93529eb4c5c5665b4884408ff61763e5066a7c6ed90ba8a32ac811e8f32fbc	xtask/src/main.rs	symbol	symbol	10	1	1	0	d53d67b247e53b5ea545ce57a4c3c1647c38fc98	거짓	0	아니다	행이 스스로 적은 처분자리 칸이 규칙 셋을 이기고 기각은 맨 먼저 걸러낸다는 이 순수 함수 안의 입력 우선순위다
bd71eaa617e123bc	41e387f35da18f77b012a195bbfdbd515fec044a7a2f5e266c62aafbd2aa6819	crates/pal-core/src/narrative.rs	symbol	symbol	5	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	아니다	attached 에 적힌 명제와 실제 계산이 다르다는 것을 거짓 결박률 실측으로 적은 정정이고, 그 계산 사실은 부르는 쪽과 무관하다
c201c01b6b0aff9a	72bb7e9ea837a09cd0710e0f6e884bf3971ff26f38074022afd63b8e4ddc8ac5	crates/pal-extract/src/parse.rs	symbol	callers	4	1	5	3	9f0bf704464bec4920e3e226953c32640387623c	거짓	1	영향받는다	부재가 아닌 것은 이 목록에 담지 않는다는 사용 금지 규칙이라, 여기에 무엇을 넣고 읽는 쪽이 바뀌면 종류가 다른 부재가 한 목록에 섞인다
cbd70e3e8dfca3ba	f24c2c6201a391b3629d34d4fd320469019123f14a1b8c39a41e59c919b0c1ad	crates/pal-extract/src/rust_scopes.rs	symbol	symbol	0	1	1	0	e9402bc63ab875ab933e7668098ce54240b80124	거짓	0	아니다	가드와 or 갈래를 선언으로 묶지 않게 이 순회가 무엇을 거를지 고친 내부 구현이다
cc2cee65c3c176ab	08f9861c982032b24a414e6dbd993abb694cbdcea53cf49e2164332c10d3bd13	crates/pal-extract/src/classify.rs	symbol	symbol	0	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	아니다	grade_of 의 팔을 언어마다 갈라 두어 한 언어를 올릴 때 다른 언어가 딸려 오르지 않게 한다는 이 함수 내부의 구조다
ce25c6f23f0a8992	c14d796f90a25db440c53774acc5b40beab0c506857eff84320a8a7c500b9da9	crates/pal-cli/src/narrative.rs	symbol	callers	2	1	3	0	58991b666e66700d4f00181b590ac3ce972d3463	거짓	0	영향받는다	읽기 표면과 쓰기 표면의 계약을 불리언이 아니라 타입으로 가른다는 결정이고, 부르는 자리에서 무엇이 참인지 읽혀야 한다는 것이 그 까닭이다
d716d09163a6d0ab	89c2aab3184831be1555d51244ca187228f2b7b30e030c02f48487ef8998103a	crates/pal-core/src/envelope.rs	symbol	callers	17	1	18	12	9f0bf704464bec4920e3e226953c32640387623c	거짓	3	영향받는다	같은 필드를 세는 소비자가 옮긴 것을 절단으로 읽으면 dropped() 가 거짓말이 된다는 이유로 대안 셋을 기각한 결정이다
ddb749e489242cab	4854875f1c9e3a783842953dbb7461f4f159d55b0dc542026d6beefefd03e750	crates/pal-core/src/traverse.rs	symbol	callers	0	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	실측 등급이 선언 상한을 넘지 못하고 모르면 지우지 않는다는 불변식이며, 그 값을 정규화가 읽어 정규형을 정한다는 것이 결정의 축이다 ⟨호출자 0 — 넓혀도 감시가 안 커진다. 멤버 호출(x.foo())을 장치가 못 보는 것이고 pal touch 가 그 문장을 스스로 찍는다. 근거가 안 선 것이 아니다⟩
e3baa46390859ef3	484fd2669226dcb178549a2fe8791704604ffd5df7c9f09f2cd82b8d467ffc33	crates/pal-core/src/cross_file.rs	symbol	symbol	0	1	1	0	d53d67b247e53b5ea545ce57a4c3c1647c38fc98	거짓	0	아니다	못 푼 참조의 걸음을 지나면서 적고 되짚어 만들지 않는다는, 이 함수가 자기 기록을 세우는 방식이다
e64fd4f5378c5f20	a23a6a391485b850b33bde9d2f26a8efe1cb88d0d4904f181e4081387974295b	xtask/src/main.rs	symbol	symbol	1	1	1	0	5e673e7aeae4c596c1361ac8986c8f003cd464d4	거짓	0	아니다	완성 장면을 소제목 셋의 번호 붙은 절로 정의하고 그 형식과 장면 수 하한을 기계가 잰다는 이 검사의 판정 형식이다
f4ba084c7a3838be	3b1cfccff060320daef55cf54726139924c981c59d4e7f884c0a2749ad21b783	crates/pal-cli/src/round/status.rs	symbol	symbol	1	1	1	0	daf15debf4399f482d42c92e693646371ace64b6	거짓	0	아니다	새 표기와 옛 표기를 둘 다 받는 별칭으로 종결 문서를 판정한다는, 이 검사가 받아들이는 문자열 집합의 결정이다
fcd48a9033fd1fb0	6a77069c8591fd3a645fb3e1407b084cc8c0c6f84a13fb87e1122177015ca01b	crates/pal-store/src/projection.rs	symbol	callers	0	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	그 값을 고칠 수 있는 사람이 우리가 할 수 있는 일의 범위를 넓히는가로 입력과 권한을 가르고 검증의 기준이 검증 대상 안에 있으면 안 된다는 신뢰 경계 규칙이다 ⟨호출자 0 — 넓혀도 감시가 안 커진다. 멤버 호출(x.foo())을 장치가 못 보는 것이고 pal touch 가 그 문장을 스스로 찍는다. 근거가 안 선 것이 아니다⟩
fd4efc1eaea040c4	678dfa2b54b1eba48698e522c953d3b28b61c5ec480bf5cf42241611465cc7cc	crates/pal-core/src/binding.rs	symbol	callers	0	1	1	0	d53d67b247e53b5ea545ce57a4c3c1647c38fc98	거짓	0	영향받는다	빈 목록이 0 건인지 못 읽은 것인지를 이 자가 가르므로 읽는 표면이 그 값을 함께 실어야 하고 읽는 자리마다 음성 대조를 둔다는 결정이다 ⟨호출자 0 — 넓혀도 감시가 안 커진다. 멤버 호출(x.foo())을 장치가 못 보는 것이고 pal touch 가 그 문장을 스스로 찍는다. 근거가 안 선 것이 아니다⟩
