코퍼스	개체	문서	앵커	걸린신호	심볼	종류	코드경로	문서첫줄	판정	근거
ditto	01M022Z4GCD6ZKWNC85XQ0J520	docs/features/fitness.md	5-2-adr-0004-비용-정책의-코드화	span	scheduleDecision	function	src/acg/fitness/fitness-runner.ts	5-2. `scheduleDecision` — ADR-0004 비용 정책의 코드화	참	조각의 제목이 곧 그 함수다
ditto	01M022Z4KA22EQ24YKK87GDRBH	docs/features/github.md	5-recipebacklog-개인-config-bootstrap-once-seed-adr-20260630	span	seedGithubConfigIfAbsent	function	src/core/ditto-config.ts	(5) recipe.backlog → 개인 config bootstrap-once seed (ADR-20260630)	참	조각이 그 seam 의 불변식 넷을 적는다
ditto	01M022Z4PV0TNYMA4PNVWN623D	docs/features/handoff.md	sync-흐름-handoff-ref-syncts753-925	span	syncHandoffRef	function	src/core/handoff-ref-sync.ts	sync 흐름 (`syncHandoffRef`, handoff-ref-sync.ts:753-925)	참	조각의 제목이 곧 그 함수의 흐름이다
ditto	01M022Z4VXQJ8NEYJKFXW54WEC	docs/features/impact.md	2-코드-위치와-진입점	span	signature	function	src/acg/fitness/executed-provider.ts	2. 코드 위치와 진입점	거짓	조각은 파일 역할 표 — `signature` 는 흔한 이름이고 좌표는 표 밖이다
ditto	01M022Z5FFPEA18V0VVCNFY4CD	docs/features/prism.md	4-4-닫기-게이트-model-1-residual-a2-argumentation-ac-1	span	isCriticalResolved	function	src/core/prism/engine.ts	4-4. 닫기 게이트: MODEL-1 residual + A2 argumentation (ac-1)	참	조각이 그 게이트 판정을 적고 좌표까지 명시했다
ditto	01M022Z5MC1YKHXTTKQ00NZN0R	docs/features/push-gate.md	크로스툴-producer-srcclicommandspush-gatets289-315	span	maybeRecordGreenForGate	function	src/cli/commands/push-gate.ts	크로스툴 producer — `maybeRecordGreenForGate` (src/cli/commands/push-gate.ts:289-315)	참	조각의 제목이 곧 그 함수다
ditto	01M022Z5RSGZM24HJ2C5NDVEEW	docs/features/release.md	6-설계-의도-실제-동작-일치-여부	span	readVersion	function	src/cli/commands/release.ts	6. 설계 의도 ↔ 실제 동작 일치 여부	거짓	여러 확인의 나열이고 그 함수는 **경미한 불일치**로 한 번 언급된다
ditto	01M022Z621E0TPE7KRQZF8A09V	docs/features/uninstall.md	4-2-corruption-fallback-절대-내용을-파괴하지-않는다	span	locateBlock	function	src/core/managed-resource.ts	4-2. Corruption fallback: 절대 내용을 파괴하지 않는다	참	조각 전체가 그 함수의 동작이다
ditto	01M022Z6945V4X4DDX7MK4PWWA	docs/features/work.md	재고할-수-있는-결정	span	computeStemViews	function	src/core/work-item-store.ts	재고할 수 있는 결정	참	첫 항목이 그 함수의 비용에 대한 결정이다
ditto	01M022Z6CFMKPXF3V0X9Z5MVME	docs/features/worktree.md	repo-레벨-뮤텍스	span	withWorktreeLock	function	src/core/worktree.ts	`withWorktreeLock` — repo 레벨 뮤텍스 (`src/core/worktree.ts:244-288`)	참	조각의 제목이 곧 그 함수다
ditto	01M022Z78AR3YVJD1KN921G7JC	rebuild/memory/freshness.ts	L1	same-commit	baseInput	function	rebuild/memory/freshness.test.ts	/**	거짓	조각은 `freshness.ts` 의 머리 주석 — 좌표는 **테스트 파일**이다. 같은 커밋이 안 좁혔다
ditto	01M022Z7S7AQR5XSZ6RJQGS0YN	reports/coverage/wi_260706n4w-fabrication-baseline.md	4-하네스-준비-상태-무엇이-준비됐나	span	oracleProvenance	variable	src/schemas/coverage.ts	4. 하네스 준비 상태 (무엇이 준비됐나)	거짓	조각은 준비 상태 표이고 그 스키마는 표의 한 행이다
ditto	01M022Z8D4WHQ3WTMZ1TWFC2PB	reports/design/agentic-governance/30-intent-change-dsl.md	a-agent-제약	span	allow	variable	reports/measurements/efficacy-ablation-3arm/harness/egress-proxy.ts	(A) Agent 제약	거짓	문서의 `allow` 는 DSL 키워드 — 좌표는 **하네스 스크립트의 지역 변수**
ditto	01M022Z8NQZKX0YB2WHN1E1BWK	reports/design/agentic-governance/60-practice-ingestion-map.md	binding-8	span	handoff	variable	src/schemas/handoff.ts	binding (8)	거짓	조각은 매핑 표이고 `handoff` 는 한 행이다
ditto	01M022Z9EKS5D66XQRV3XWP131	reports/design/contracts/autopilot-contract.md	21-노드와-엣지	span	selectReadyNodes	function	src/core/autopilot-graph.ts	2.1 노드와 엣지	거짓	조각의 주제는 노드·엣지 계약 — 그 함수는 끝의 한 언급이다
ditto	01M022Z9RD5E49WZ5JT3QPKBBF	reports/design/contracts/deep-interview-contract.md	62-예시-구현-전-zodjson-스키마와-정합	span	evidenceRef	variable	src/schemas/common.ts	6.2 `interview-state.json` (예시 — 구현 전 Zod/JSON 스키마와 정합)	거짓	조각의 주제는 `interview-state.json` 예시 — 그 스키마는 재사용 목록의 하나다
ditto	01M022Z9XPTGZC19TCF38SMJBF	reports/design/contracts/e2e-journey-contract.md	5-autopilotevidence-통합	span	e2eJourney	variable	src/schemas/e2e-journey.ts	5. autopilot·evidence 통합	참	조각이 그 산출물의 계약과 참조 경로를 적는다
ditto	01M022ZA6MNS88T0WP39C16YD1	reports/design/contracts/verify-contract.md	2-verification-entry-shape	span	runWithProvider	function	src/core/run-with.ts	2. Verification Entry Shape	참	조각의 첫 문장이 그 함수가 하는 일이다
ditto	01M022ZAGZZNJBE0F4XXGNRX05	reports/design/ditto-four-axis-reassessment.md	축2-자율-실행-오케스트레이션	span	autopilot	variable	src/schemas/autopilot.ts	축2 — 자율 실행 오케스트레이션	거짓	조각은 **축의 정의** — `autopilot` 은 스킬·CLI 를 가리키지 스키마가 아니다
ditto	01M022ZAS6TAFJ4WK22H40F1NX	reports/design/ditto-quality-remediation-backlog.md	ws2-범위-보존자기완결성-명제-c	span	intentDriftGate	function	src/core/gates.ts	WS2 — 범위 보존·자기완결성 (명제 C)	참	조각이 그 게이트에 대한 변경 결정을 적는다
ditto	01M022ZB49NQ99GFM9QG73DXSH	reports/design/ditto-v0-implementation-plan.md	m21-autopilotjson-스키마-autopilotstore-glue	span	AutopilotStore	class	src/core/autopilot-store.ts	M2.1 — autopilot.json 스키마 + AutopilotStore (glue)	참	조각이 짓는 것이 곧 그 클래스다
ditto	01M022ZBGQ5A557Q7F3WG6AZFK	reports/design/floor-raising-blueprint.md	2-라이프사이클-ac-1-5단계-분리-없음-plan-미리보기-뷰	span	producePlanGate	function	src/core/coverage-manager.ts	2. 라이프사이클 (ac-1) — 5단계, 분리 없음, plan 미리보기 뷰	거짓	조각의 주제는 라이프사이클 — 그 함수는 한 줄 언급이다
ditto	01M022ZBQZ3TW3RVQ50QGVM9JV	reports/design/memory-graph-plugin-design.md	1-왜-필요한가-오늘-ditto의-빈틈	span	DelegationPacket	interface	src/core/autopilot-dispatch.ts	1. 왜 필요한가 — 오늘 ditto의 빈틈	거짓	"조각의 주제는 *""왜 필요한가""* — 그 타입은 예시다"
ditto	01M022ZC5Q6WMCKQJVTXPW4WD0	reports/design/premortem-relevance-gate-redesign.md	8-3-결정적-프록시-지금-측정-가능	span	farFieldCoverageReport	function	src/core/coverage-taxonomy.ts	8-3. 결정적 프록시 (지금 측정 가능)	참	조각 전체가 그 리포트의 `skipped` 필드다
ditto	01M022ZCM59PFN5DCEPJG0ZTC3	reports/harnesses/03-claude-codex-adoption-map-ko.md	omc-모드가-stop-blocking-및-pretooluse-enforcement에-추가됨	span	autopilot	variable	src/schemas/autopilot.ts	OMC: `ultragoal` 모드가 Stop-blocking 및 PreToolUse enforcement에 추가됨	거짓	문서의 `autopilot` 은 **OMC 의 모드 이름** — 이 저장소의 스키마가 아니다
ditto	01M022ZE33ZC8P9HTTNMEWMYHT	reports/harnesses/ditto-harness-absorption-handoff.md	failed-or-unverified	span	autopilotForcesContinuation	function	src/hooks/stop.ts	failed_or_unverified	참	조각이 그 훅 함수가 하는 일을 적는다
ditto	01M022ZEKVQCNK3SE0HD2KCPDD	reports/harnesses/ditto-phase3-review.md	p1-forwarded-provider-args에-가-포함되면-provider가-실행되지-않고-ditto-help가-출력된다	span	runWithProvider	function	src/core/run-with.ts	P1. forwarded provider args에 `--help`가 포함되면 provider가 실행되지 않고 DITTO help가 출력된다	참	조각이 그 명령 경로의 결함을 적는다
ditto	01M022ZF2X4MEJHZ7YTTHG4P36	reports/harnesses/lazycodex-remove-ai-slops-ast-grep.md	ast-grep과-acg-analyzer의-관계	span	ImpactAnalyzer	interface	src/acg/impact/impact-graph.ts	AST-grep과 ACG analyzer의 관계	거짓	조각의 주제는 analyzer 들의 관계 — 그 타입은 셋 중 하나다
ditto	01M022ZFBTDT2JAVZMKY2P898J	reports/harnesses/oh-my-claudecode.md	메타데이터배포	span	t	variable	rebuild/seam/opaque.type-test.ts	메타데이터/배포	거짓	문서의 `t` 는 **다른 것** — 좌표는 타입 시험의 지역 심볼이다
ditto	01M022ZFQ4C0T35H7MGKGHE3AN	reports/harnesses/oh-my-opencode-slim.md	도구훅-계층	span	event	variable	rebuild/memory/real-entry.test.ts	도구/훅 계층	거짓	문서의 `event` 는 **OpenCode 의 훅 이름** — 좌표는 테스트의 지역 심볼이다
ditto	01M022ZH4193ABDXFC8HTMDQWF	reports/research/agent-memory-systems-comparative.md	21-정체성규모	span	src	function	rebuild/memory/store.test.ts	2.1 정체성·규모	거짓	문서의 `src` 는 **디렉터리 이름** — 좌표는 테스트의 지역 심볼이다
ditto	01M022ZJPYPYE7997Z8ZKWF3XE	reports/research/rebuild-codex-crosscheck-seam.md	c-별도-verifier-seam-교차모델-검증-전용-인터페이스	span	OpponentDelegate	type_alias	src/core/prism/opponent.ts	(c) 별도 verifier seam (교차모델 검증 전용 인터페이스)	참	조각이 그 콜백 seam 을 적는다
ditto	01M022ZM9SMS3F4JKM7NC3EHSM	skills/autopilot/SKILL.md	autopilot	span	AutopilotStore	class	src/core/autopilot-store.ts	Autopilot	거짓	조각은 스킬 설명 — 그 클래스는 소유권 표시의 한 언급이다
ditto	01M022ZMM283HTV285BJ7R97T5	skills/deep-interview/SKILL.md	6-finalize	span	bootstrapAutopilot	function	src/core/autopilot-bootstrap.ts	6. Finalize	거짓	조각은 finalize 명령의 사용법 — 그 함수는 목록의 하나다
ditto	01M022ZP00TQ1Z8EMCH7FTT8XG	skills/prism/SKILL.md	6-compile-the-confirmed-design-into-intent	span	finalizeInterview	function	src/core/interview-driver.ts	6. Compile the confirmed design into intent	참	조각이 그 함수를 단일 writer 로 적는다
ditto	01M022ZPZ0DHCMTRYCV19GJHXA	src/core/autopilot-complete.ts	L382	attached	barrierRanGreen	function	src/core/autopilot-complete.ts	/**	참	**붙어 있는 주석**이다 — 그 함수 바로 위
ditto	01M022ZQCRKM2MDNR4TWWE7WP1	src/core/autopilot-loop.ts	L2742	attached	applyAutoResolveSplice	function	src/core/autopilot-loop.ts	/**	참	**붙어 있는 주석**이다 — 그 함수 바로 위
portal-backend	01M02300CRQK5MW9DX4BM7TRXX	MCP_SDK_IMPLEMENTATION_PLAN.md	51-tool-자동-등록	span	BoxwoodMcpTool	class	src/main/kotlin/kr/co/ecoletree/boxwood/llmtask/infrastructure/mcp/core/BoxwoodMcpTool.kt	5.1 Tool 자동 등록	참	조각이 그 인터페이스의 등록 규칙을 적는다
portal-backend	01M02304BACCG9JGXM27KDCXHB	docs/DAILY_USAGE_STATISTICS_GUIDE.md	통합-통계-조회	span	DailyStatisticsDto	class	src/main/kotlin/kr/co/ecoletree/boxwood/rest/client/engine/dto/res/DailyStatisticsDto.kt	통합 통계 조회	참	조각이 그 DTO 를 응답 계약으로 적는다
portal-backend	01M02309HP6X1FTDNPP4XSK3E4	docs/audit/AUDIT_SYSTEM_OVERVIEW.md	technical-info-simplified-in-v059	span	RoleGroupController	class	src/main/kotlin/kr/co/ecoletree/boxwood/role/controller/RoleGroupController.kt	Technical Info - Simplified in V059	거짓	조각은 감사 로그 필드 표 — 그 컨트롤러는 **예시 값**이다
