id	round	commit	제목요약	축1_유효	축2_대상	축3_산출	축4_부호	축5_진자	축6_깨짐	근거인용
R1-14	1	a308602	f12-verify.py:525 조용한 대조불가	참	자기장치	장치	개선	진자	금지역	「측정이 실패했다」와 「대상이 사라졌다」가 한 칸에 뭉개진다
R2-01	2	862d2b0	앵커 축 부재 — 링크 5건이 죽었다	참	자기장치	장치	개선	연쇄	금지역	검사는 # 뒤를 버리고 있어서 초록이었다
R2-02	2	862d2b0	최대 발견이 커밋 메시지에만	참	회차기록	장치	개선	아님	거짓신호	저장소 안 grep 0 건이었다
R2-03	2	862d2b0	budget.rs:312 실 MCP 세션 거짓신호	참	저장소	산문	개선	아님	거짓신호	R-11 정정(실사용 축이 0 이 됐다)과 정면 충돌했다
R2-04	2	862d2b0	ledger.rs·touch.rs how-it-works 현재형	참	저장소	산문	개선	아님	거짓신호	지운 how-it-works 를 현재형으로
R2-05	2	862d2b0	plan.rs [F12 §3.4] 정의없는 참조형	참	저장소	산문	개선	아님	미관	rustdoc 이 대괄호를 그대로 렌더한다
R2-06	2	862d2b0	plan/README:26 「안 만든 12」	참	저장소	산문	개선	아님	거짓신호	README:26 「안 만든 12」(→13)
R2-07	2	862d2b0	disposal-map:82 「에픽 13」	참	원의도	산문	개선	아님	거짓신호	disposal-map:82 「에픽 13」(→12+1)
R2-08	2	862d2b0	게이트 미결박 1690→1684	참	회차기록	산문	개선	연쇄	거짓신호	게이트 「미결박 1690」(→1684, 같은 문서가 붙여 놓은 출력이 1691=0+7+1684 다)
R2-09	2	862d2b0	00-goals.md:211 ditto→.gitignore	참	저장소	산문	개선	아님	거짓신호	대상이 실재해서 검사는 초록이었다
R2-10	2	862d2b0	plan/README §1 아래 57줄 안 비움	참	저장소	삭제	개선	연쇄	거짓신호	§1 아래 57 줄이 옛 KG 지형 그대로였다
R2-11	2	862d2b0	adr/README 가 새 캐시 「26개」	참	저장소	삭제	개선	아님	거짓신호	수를 세지 않는다 — 낡는 캐시다 를 선언하고 같은 파일에서 「26 개」를 적었다
R2-12	2	862d2b0	state.md scripts 판정표 갈림 1회차	참	회차기록	산문	개선	연쇄	거짓신호	state.md 의 scripts 표가 … 「남긴다」로 적었는데 둘 다 실제로 고쳤다
R2-13	2	862d2b0	00-goals §4 ★ 가 두 뜻	참	저장소	산문	개선	아님	거짓신호	같은 표의 다른 행에서 ★ = 「목표로 옮겼다」였다
R3-01	3	ac39982	고정 SHA 워크트리로 안 쟀다	참	회차기록	산문	개선	아님	거짓신호	완수 조건이 처분 후는 고정한 SHA 의 워크트리에서 잰다 였는데 본체 워킹트리에서 쟀다
R3-02	3	ac39982	모집단 밖 죽은 링크 165→186	참	회차기록	산문	개선	연쇄	거짓신호	같은 규칙으로 실측 이라 적어 놓고 규칙이 바뀐 뒤 안 다시 쟀다
R3-03	3	ac39982	sunset 트리거가 깊이 1 에만 반응	참	자기장치	장치	개선	연쇄	금지역	rounds/<회차>/records/round.json 이 초록이었다
R3-04	3	ac39982	「옛」 규약이 내 산출물 6자리에 안 걸림	참	저장소	산문	개선	연쇄	거짓신호	전부 이 회차가 링크 대상을 갈아 끼운 자리인데 표식이 없었다
R3-05	3	ac39982	검사가 못 보는 셋째 부류 4자리	참	저장소	산문	개선	연쇄	거짓신호	삭제된 DESIGN.md 의 갱신을 현재형으로 요구
R3-06	3	ac39982	00-goals ditto 주석 문장이 깨짐	참	저장소	산문	개선	아님	미관	「선행 저장소」가 두 번 나오고 ** 가 안 닫혔다
R3-07	3	ac39982	같은 줄 0001~0025 가 한 칸 낡음	참	저장소	산문	개선	아님	거짓신호	0001~0025 는 0026 발행 뒤라 한 칸 낡았다
R3-08	3	ac39982	ADR-0026:79 가 낡은 수를 복제	참	저장소	산문	개선	아님	거짓신호	새 ADR 이 낡은 수를 복제했다
R3-09	3	ac39982	state.md ## 산출 규모가 틀림	참	회차기록	산문	개선	연쇄	거짓신호	중간 시점(6c5651f · 커밋 9)의 수를 그대로 들고 있었다
R3-10	3	ac39982	「생긴 것 일곱」이 실제 열	참	회차기록	산문	개선	아님	거짓신호	「생긴 것 일곱」도 실제 열이고 빠진 셋이 하필
R4-01	4	4c4b315	pal --help 가 뒤집힌 원리를 냈다	참	저장소	장치	개선	아님	금지역	문서에서는 취소선으로 처분했는데 바이너리는 매 실행마다 그것을 냈다
R4-02	4	4c4b315	「취소 0」이 관측 아닌 믿음이었다	참	회차기록	산문	개선	연쇄	거짓신호	「취소 0」은 관측이 아니라 내가 그럴 것이라 믿은 값이었다
R4-03	4	4c4b315	수를 적는 자리가 세 번 낡음	참	회차기록	산문	개선	연쇄	거짓신호	state.md ## 산출 을 세 번 고쳤고 세 번 다 낡았다
R4-04	4	4c4b315	음성 대조 표가 자기 대조를 덜 셌다	참	회차기록	산문	개선	연쇄	거짓신호	넷을 실행해서 확인했다 라 적고 다섯을 실었고
R4-05	4	4c4b315	.txt 가 여전히 모집단 밖	참	자기장치	장치	개선	연쇄	금지역	검사 모집단 밖이라 … 를 이유로 저장소에 옮겨졌는데 여전히 밖이었다
R4-06	4	4c4b315	참조 정의형 8건에 「옛」 미표기	참	저장소	산문	개선	연쇄	거짓신호	인라인 6 건만 고쳤었다
R4-07	4	4c4b315	ADR-0026 반증 조건이 딴 시험을 가리킴	참	저장소	산문	개선	아님	거짓신호	「하한 6」은 옆 시험의 것이고
R4-08	4	4c4b315	intent.md 음성 대조가 25 로 남음	참	회차기록	산문	개선	연쇄	거짓신호	재는 방법(ls docs/plan/features/)이 이 회차의 삭제로 소멸했다
R5-01	5	afbe280	게이트에 최상위 절 「★ 앞 회차…」	참	회차기록	산문	개선	아님	실패	그 넷 아닌 새 이름의 목록이 생긴다
R5-02	5	afbe280	게이트에 최상위 절 「능력 부재」	참	회차기록	산문	개선	아님	실패	## ★ 앞 회차가 남긴 물음에 답한다 와 ## 능력 부재 가 최상위로 서 있었다
R5-03	5	afbe280	종료 보고가 대화에만 있어 대조불가	참	규약	산문	개선	아님	금지역	§11 조건 5 … 가 대조 불가
R5-04	5	afbe280	README 가 자기 근거 게이트를 반증	참	저장소	산문	개선	아님	거짓신호	살아 있는 문서 둘이 서로를 반증하고 있었다
R5-05	5	afbe280	state.md 첫 줄이 착수 후 안 바뀜	참	회차기록	산문	개선	아님	거짓신호	첫 줄이 착수 이후 한 번도 안 바뀌어 있었다
R5-06	5	afbe280	## 실패한 접근 이 둘 (①② 중복)	참	회차기록	산문	개선	아님	미관	## 실패한 접근 이 둘이었고(①② 글자까지 중복)
R5-07	5	afbe280	## 산출 파일 이 /tmp 를 냄	참	회차기록	산문	개선	연쇄	거짓신호	효과 전문이 저장소로 옮겨진 뒤에도 /tmp 를 산출로
R5-08	5	afbe280	「커밋 아홉·push 두 번」 모순	참	회차기록	산문	개선	연쇄	거짓신호	같은 절의 ac39982 cancelled 기록과 모순
R5-09	5	afbe280	cargo doc 경고 27 을 아무도 안 들음	참	저장소	산문	개선	연쇄	금지역	CI 에도 xtask check 18 개에도 cargo doc 이 없다
R5-10	5	afbe280	재는 도중 트리를 오염시켰다	참	회차기록	없음	?	아님	실패	재는 도중에 트리를 오염시켰다 … 죽은 링크 검사가 그것을 즉시 잡았다
R5-11	5	afbe280	음성 대조 표가 「여덟」인데 9행	참	회차기록	산문	개선	연쇄	거짓신호	음성 대조 표가 여덟 이라 적고 9 행이었다
R5-12	5	afbe280	scripts/ 처분표 분할이 실측과 어긋남	참	회차기록	산문	개선	연쇄	거짓신호	「고친다 4」는 파일이 아니라 자리 넷이다
R5-13	5	afbe280	착수 기준선 docs/gates 33→34	참	회차기록	산문	개선	아님	거짓신호	착수 기준선의 docs/gates/ 33 → 34
R6-01	6	a1553d7	「옛」 규약이 산문뿐 — 316자리 미준수	참	자기장치	장치	개선	연쇄	금지역	게이트 산문에만 적고 장치로 안 만들었더니 소스 주석 316 자리가 안 지켰다
R6-02	6	a1553d7	검사가 한국어 주석에서 패닉	참	자기장치	장치	개선	아님	실패	&line[at-30..at] 이 한국어 주석에서 글자 가운데를 잘라 패닉했다
R6-03	6	a1553d7	검사가 자기 토큰 목록을 위반으로 읽음	참	자기장치	장치	개선	연쇄	실패	검사가 자기 토큰 목록과 자기 doc 의 예시를 위반으로 읽었다 — 자가당착
R6-04	6	a1553d7	cargo doc 을 「범위 밖」이라 적었다	참	회차기록	산문	개선	연쇄	거짓신호	처음엔 이 회차의 범위 밖 이라 적었는데 … 할 수 있었다
R6-05	6	a1553d7	결박 관측 수·claude-plugin 6→5 낡음	참	회차기록	산문	개선	연쇄	거짓신호	산출물 다섯 · 조각 80 이라 적었는데 재던 그 순간에도 여섯이었고
R7-01	7	5775a1b	검사 19 가 .rs 만 봐 15자리 샘	참	자기장치	장치	회귀	진자	금지역	.rs 도 문서도 아닌 자리 15 곳이 샜다
R7-02	7	5775a1b	검사 19 에 모집단 하한이 없었다	참	자기장치	장치	개선	연쇄	금지역	「0 곳」이 안 부른다 가 아니라 안 봤다 일 수 있다
R7-03	7	5775a1b	graph.toml 정본이 파생보다 낡음	참	저장소	산문	개선	아님	거짓신호	정본이 파생보다 낡았다
R7-04	7	5775a1b	domain.md 치환이 또 미끄러짐	참	규약	산문	개선	연쇄	거짓신호	같은 도구가 같은 회차에서 한 번 더 미끄러졌다
R7-05	7	5775a1b	domain.md 트리가 루트에 plan/ 을 놓음	참	규약	산문	개선	연쇄	거짓신호	루트에 plan/ 이 있는 것처럼 만들었다
R7-06	7	5775a1b	00-stack.md 유령 다섯이 현재형	참	저장소	산문	개선	연쇄	거짓신호	존재한 적 없는 것을 현재형으로 싣고 있었다
R7-07	7	5775a1b	plan/README §7 규칙 4 가 자기와 충돌	참	저장소	산문	개선	아님	거짓신호	README §7 규칙 4 가 같은 파일 두 곳과 충돌했다
R7-08	7	5775a1b	게이트 합격선 ⑦ 18/18 · 검사 18개	참	회차기록	산문	개선	연쇄	거짓신호	게이트 합격선 ⑦ 「18/18」(판정표는 19/19 로 고쳐져 있었다)
R7-09	7	5775a1b	게이트:379·report.md:38 매달린 참조	참	회차기록	산문	개선	아님	거짓신호	둘 다 아래에 없다
R7-10	7	5775a1b	report.md 가 라운드 수를 틀림	참	회차기록	산문	개선	연쇄	거짓신호	소진을 세는 문서가 라운드 수를 틀렸다
R7-11	7	5775a1b	게이트가 「수 안 적는다」 절에 수 셋	참	회차기록	산문	개선	연쇄	거짓신호	수를 안 적는다 를 선언한 절 안에 세 개가 남아 있었다
R7-12	7	5775a1b	plan/README:12 「R-01~R-20」	참	저장소	산문	개선	아님	거짓신호	README:12 「R-01~R-20」(실측 R-29)
R8-01	8	37d7cbb	검사 19 에 .md 가 없어 설치자산 사각	참	자기장치	장치	개선	연쇄	금지역	리뷰가 심어서 확인했다 — 거기 「옛」 없는 인용을 넣어도 19/19 초록이었고
R8-02	8	37d7cbb	옛 지형 번호로 판정 소유 배정	참	저장소	산문	개선	연쇄	거짓신호	셋 다 이 회차가 안 만들었다 · B 가 다시 정한다 로 처분하고
R8-03	8	37d7cbb	00-goals 산문의 「기능 문서 20개」	참	저장소	산문	개선	연쇄	거짓신호	같은 절의 표는 이 회차가 고쳤고 그 위 산문은 안 고쳤다
R8-04	8	37d7cbb	domain.md:8 「ADR 스물셋」	참	규약	산문	개선	연쇄	거짓신호	26 번째는 이 회차가 발행했다
R8-05	8	37d7cbb	scripts 판정표 3·37 ↔ 실측 4·36	참	회차기록	산문	개선	연쇄	거짓신호	이 표가 세 번 갈렸다
R8-06	8	37d7cbb	report.md 라운드 표가 5행에서 멈춤	참	회차기록	삭제	개선	연쇄	거짓신호	마지막 행의 「닫은 커밋」이 「이 커밋」으로 매달렸다
R9-01	9	9991b5d	검사 19 토큰이 라틴뿐 — 한국어 16곳	참	자기장치	장치	회귀	진자	금지역	한국어 16 곳 — 하나도 안 붙어 있었고 검사는 초록이었다
R9-02	9	9991b5d	직전 커밋이 새 거짓 문장을 만들었다	참	저장소	산문	개선	연쇄	거짓신호	내 직전 커밋이 새 거짓 문장을 만들었다
R9-03	9	9991b5d	AGENTS.md drift 금지 문장이 drift	참	규약	산문	개선	아님	거짓신호	drift 를 금지하는 문장 자체가 drift 였다
R9-04	9	9991b5d	plan/README 머리글 세 겹 거짓	참	저장소	산문	개선	연쇄	거짓신호	이 회차가 같은 파일을 일곱 커밋 고쳤는데 머리글은 한 번도 안 봤다
R9-05	9	9991b5d	issue-tracker.md 무너진 규칙 현재형	참	규약	산문	개선	아님	거짓신호	무너진 규칙이 에이전트 지시에 현재형으로 남아 있었다
R9-06	9	9991b5d	00-risks R-17 이 지운 지형의 수	참	저장소	산문	개선	아님	거짓신호	「기능 20개」·「P0+P1(12개)」 … 이 지운 지형의 수다
R9-07	9	9991b5d	frontier.sh 가 비운 지형을 가리킴	참	저장소	장치	개선	아님	거짓신호	살아 있는 스크립트가 비운 지형을 가리켰다
R10-01	10	b0bdf51	검사 19 가 거짓 「옛」 7자리를 강제	참	자기장치	장치	개선	진자	금지역	장치가 거짓말을 요구하면 그것은 대조가 아니다
R10-02	10	b0bdf51	면제 규칙 둘이 전역이라 조용히 꺼짐	참	자기장치	장치	개선	연쇄	금지역	19/19 통과 · 인용 수도 안 움직였다(세지도 않고 건너뛴다)
R10-03	10	b0bdf51	AGENTS.md:32 「전체를 관장한다」	참	규약	산문	개선	연쇄	거짓신호	그 문서를 가리키는 AGENTS.md:32 에 그대로 있었다
R10-04	10	b0bdf51	00-goals.md:164 백서 §8 현재형	참	저장소	산문	개선	아님	거짓신호	docs/ 는 검사 모집단 밖이라 안 걸린다
R10-05	10	b0bdf51	domain.md·issue-tracker.md 지운 지형	참	규약	산문	개선	연쇄	거짓신호	형제 파일의 같은 명제는 이미 고쳐져 있었다
R10-06	10	b0bdf51	scripts 판정표가 네 번째로 갈림	참	회차기록	산문	개선	연쇄	거짓신호	네 번째로 갈렸다 — 매번 그 직전 커밋이 고친 파일이 빠졌다
R10-07	10	b0bdf51	entity.rs:337 이 4회 중 1회 빨감	참	저장소	장치	개선	연쇄	실패	Ulid::now() 가 SystemTime 이라 NTP 보정에 노출된다
R11-01	11	3da3c1f	유령 트리 — proptest 씨앗이 헛돌았다	참	저장소	장치	개선	아님	금지역	어느 쪽에도 새 씨앗이 안 붙었다 … 헛돌고 있었다
R11-02	11	3da3c1f	검사 19 의 tests/ 제외 사유가 복사됨	참	자기장치	장치	개선	연쇄	금지역	그 사유는 경로를 파일시스템에 대 보는 검사의 것
R11-03	11	3da3c1f	scripts 판정표가 다섯 번째로 갈림	참	회차기록	삭제	개선	연쇄	거짓신호	「수를 걷었다」고 커밋 본문에 적고도 수 열은 안 지웠다
R12-01	12	1675d3c	면제가 「블록 안」 선언 ↔ 파일 전체 구현	참	자기장치	장치	개선	연쇄	금지역	블록 밖 52 줄이 면제됐다
R12-02	12	1675d3c	게이트가 7라운드에서 멈췄다	참	회차기록	산문	개선	연쇄	거짓신호	등록된 것이 표에 없으면 그 문장이 거짓이다
R12-03	12	1675d3c	f10-5-verify.py 가 반대로 낡음(순변경0)	참	회차기록	산문	순변경0	진자	거짓신호	되돌려서 순변경 0 이다
R13-01	13	68a7afc	docs/sunset.toml 이 검사 19 사각	참	자기장치	장치	개선	연쇄	금지역	19/19 통과 · 인용 수도 안 움직임
R13-02	13	68a7afc	그 장치의 하한이 서 있는 척만 했다	참	자기장치	장치	개선	연쇄	금지역	음성 대조가 안 짖었다 — 코드에서 세 자리를 전부 없애도 초록
R13-03	13	68a7afc	「만 뺀다」 선언 ↔ 구현은 다섯	참	자기장치	장치	개선	연쇄	금지역	리뷰가 corpus/criteria.toml 에 심어 확인 — 19/19 통과
R13-04	13	68a7afc	intent.md·state.md 가 실측과 갈림	참	회차기록	산문	개선	연쇄	거짓신호	그 문단이 세운 규율 2 … 를 그 문단 자신이 안 돌리고 적혔다
R14-01	14	d7b1858	「옛」이 경로 리터럴에 들어가 죽은 가지	참	자기장치	장치	개선	진자	금지역	그 아래 측정 코드 전체가 죽은 가지다
R15-01	15	52406b9	손으로 단 「옛」이 62곳 샜다	참	자기장치	장치	개선	연쇄	금지역	표기 붙은 것 303 · 안 붙은 것 62(27 파일)
R15-02	15	52406b9	CI 판별이 검사 모집단을 손으로 베낌	참	규약	장치	개선	연쇄	금지역	선언과 구현이 정반대다
